"siteID","collectDate","sampleID","TSS","UV Absorbance (280 nm)","TDP","TDS","SO4","Na","TOC","DOC","NO3+NO2 - N","Ortho - P","HCO3","Mn","DIC","Si","TP","CO3","Ca","conductivity","NO2 - N","Fe","F","TPC","TPN","ANC","Br","UV Absorbance (250 nm)","TDN","TN","Mg","Cl","TSS - Dry Mass","K","NH4 - N","pH"
"HOPB",2017-10-19 12:40:00,"HOPB.W2.20171019",1474,NA,NA,NA,NA,NA,1.465,NA,NA,NA,NA,NA,NA,NA,0.059,NA,NA,112.7,NA,NA,NA,0.2507,0.013,NA,NA,NA,NA,0.1983,NA,NA,73700,NA,NA,7.08
"HOPB",2017-10-19 12:45:00,"HOPB.W4.20171019",120,NA,NA,NA,NA,NA,2.659,NA,NA,NA,NA,NA,NA,NA,0.092,NA,NA,130.5,NA,NA,NA,0.2664,0.0929,NA,NA,NA,NA,0.2635,NA,NA,6000,NA,NA,6.85
"HOPB",2018-03-19 15:05:00,"HOPB.W4.20180319",24,0.0121,0.002,25.14,1.05,2.508,1.087,1.158,0.0045,4.733,6.112,0.006,2.922,3.6,0.007,0.005,4.263,34.58,0.0164,0.009,0.005,0.4668,0.1214,0.15,0.005,0.0196,0,0,0.887,9.62,1200,0.112,0.0018,5.15
"HOPB",2018-03-19 16:02:00,"HOPB.W2.20180319",150,0.0435,0.003,57.89,NA,NA,4.349,2.784,0.0168,0.093,NA,NA,5.855,NA,0.01,0.005,NA,78.89,0.0161,NA,NA,0.3614,0.124,0.18,NA,0.0639,0.0677,0.1659,NA,NA,7500,NA,0.0311,5.71
"HOPB",2018-03-19 16:35:00,"HOPB.W3.20180319",72,0.0124,0.007,41.27,NA,NA,1.486,1.032,0.0062,0.118,NA,NA,3.328,NA,0.02,0.005,NA,56.32,0.0167,NA,NA,0.3614,0.124,0.17,NA,0.0182,0,0,NA,NA,3600,NA,0.0082,5.77
"HOPB",2018-08-14 14:01:00,"HOPB.W4.20180814",34,0.0162,0.0257,20.96,5.586,1.906,3.085,1.721,0.0135,0.126,9.99,0.009,5.105,5.1898,0.0703,0.005,2.4489,29.41,0.0218,5e-04,0.005,0.5949,0.1281,0.18,0.005,0.032,0.1031,0.1782,0.998,0.28,1700,5e-04,0.0192,5.95
"HOPB",2019-03-12 15:39:00,"HOPB.W2.20190312",154,0.0524,NA,NA,NA,NA,5.713,3.111,0.0837,0.037,NA,NA,7.742,NA,1.122,NA,NA,72.14,0,NA,NA,NA,NA,0.73,NA,0.0743,0.3556,0.5712,NA,NA,7700,NA,0.1415,6.71
"HOPB",2019-03-12 16:14:00,"HOPB.W3.20190312",508,0.0187,NA,NA,NA,NA,2.901,1.161,0,0.057,NA,NA,4.883,NA,2.139,NA,NA,56.21,0.0394,NA,NA,0.365,0.0667,0.62,NA,0.0245,0.1491,0.271,NA,NA,25400,NA,0.1012,6.9
"HOPB",2019-03-12 17:04:00,"HOPB.W4.20190312",118,0.0078,5e-04,20.56,4.308,1.569,2.232,0.8952,0,0.037,8.42,0.005,7.127,3.8995,0.347,0.005,2.806,28.41,0.0388,5e-04,0.005,0.3654,0.1077,0.15,0.005,0.0128,0.153,0.2651,0.806,1.5948,5900,0.064,0.0923,6.57
"HOPB",2019-08-13 15:11:00,"HOPB.W2.20190813",NA,0.0785,NA,NA,NA,NA,NA,3.562,0.0492,0,NA,NA,10.27,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.1158,0.3364,NA,NA,NA,NA,NA,0.1443,NA
"POSE",2017-03-13 13:46:00,"POSE.W1.20170313",524,0.0547,0.004,74.63,3.4668,4.4743,0.9832,0.6869,0.009,0.023,58.473,1.6207,16.34,10.3632,0.4208,0.005,10.3652,107.28,0.009,0.2362,0.005,0.281,0.1175,1.039,0.005,0.0575,0.1069,0.1313,4.4982,2.6388,13100,0.0819,0.087,7.14
"POSE",2017-03-13 16:12:00,"POSE.W6.20170313",784,0.2317,0.002,84.56,6.1962,7.6879,2.623,1.156,0.154,0.029,61.824,0.0417,15.43,12.8226,0.2833,0.005,10.4463,122.59,0.008,6.6959,0.005,0.2751,0.1133,1.172,0.005,0.2892,0.3653,0.4892,4.4608,2.7257,19600,0.1866,0,6.88
"POSE",2017-03-13 17:30:00,"POSE.W8.20170313",116,0.0272,0.032,90.23,1.5451,6.2863,0.7409,0.8372,1.01,0.045,70.158,0.0503,15.83,13.231,0.042,0.005,13.0039,131.27,0.008,0.492,0.005,0.2455,0.0967,1.205,0.005,0.0303,1.1,1.116,4.5743,2.3625,2900,0.1478,0,7.12
"POSE",2017-03-20 13:40:00,"POSE.W3.20170320",276,0.0362,0.0175,53.29,8.1503,3.8216,1.703,1.502,0.032,0.052,33.961,0.0211,7.897,9.858,0.021,0.005,6.5242,77.62,0.01,0.4838,0.005,0.2662,0.1035,0.634,0.005,0.0488,0.3545,0.2836,3.1824,2.0479,6900,0.1474,0.05,6.92
"POSE",2017-09-18 12:14:00,"POSE.W1.20170918",312,0.0406,0.0085,92.6,1.9409,4.3142,1.11,0.6171,0.0357,0.004,72.51,1.7476,17.37,10.404,0.396,0,13.188,131.1,0.0117,0.3891,0.005,0.2569,0.1154,1.209,0.005,0.0459,0,0.05,5.2551,2.5922,7800,0.2376,0.1663,6.74
"POSE",2017-09-18 13:39:00,"POSE.W3.20170918",758,0.0546,0.0178,75.4,7.245,4.0862,1.318,0.764,0.1305,0.018,51.21,0.2105,12.33,9.7889,0.021,0,9.7939,105.6,0.0113,0.0828,0.005,0.2701,0.1363,0.951,0.005,0.066,0,0.1787,4.3298,1.6636,37900,0.4134,0.135,6.65
"POSE",2017-09-18 15:29:00,"POSE.W6.20170918",178,0.0287,0.0085,91.7,4.9728,5.7192,0.7738,1.116,0.1366,0.008,67.18,0.0228,15.73,10.493,0.012,0,12.308,128.9,0.0106,0.005,0.005,0.243,0.1142,1.122,0.005,0.0321,0.059,0.0511,4.779,2.5125,8900,0.2518,0.1127,6.67
"POSE",2017-09-18 17:00:00,"POSE.W8.20170918",NA,0.0056,0.0516,102.3,1.1204,5.1016,NA,0.6267,0.9443,0.058,77.69,0.0262,16.36,12.091,NA,0,15.423,NA,0.0102,0.0123,0.005,0.293,0.1242,NA,0.005,0.0066,0.8374,NA,5.1951,2.1328,NA,0.2476,0.1151,NA
"POSE",2018-03-05 14:23:00,"POSE.W1.20180305",74,0.0172,5e-04,88.7,2.01,6.448,0.5112,0.839,0.0206,0.003,54.85,0.856,14.24,8.55,0.001,0.005,12.968,125.1,0.0164,0.071,0.005,0.2722,0.1312,0.93,0.005,0.0236,0,0,5.411,12.64,3700,0.236,0.0055,6.28
"POSE",2018-03-05 15:31:00,"POSE.W3.20180305",108,NA,NA,63.2,NA,NA,0.6564,NA,NA,NA,NA,NA,NA,NA,0.002,0.005,NA,92.49,NA,NA,NA,0.2775,0.1219,1.02,NA,NA,NA,0.0014,NA,NA,5400,NA,NA,6.31
"POSE",2018-03-05 16:40:00,"POSE.W6.20180305",202,0.3113,5e-04,94.7,9.18,7.565,1.859,1.159,0.2572,0.025,53.74,0.008,12.4,11.28,0.001,0.005,8.665,133.5,0.0161,0.846,0.005,0.2957,0.1193,0.92,0.005,0.3822,0.3014,0.4018,3.639,9.41,10100,0.195,0,6.36
"POSE",2018-03-05 18:25:00,"POSE.W8.20180305",44,0.0044,5e-04,101.2,1.52,6.509,1.412,0.4245,0.8869,0.041,73.25,0.028,15.5,13.14,0.001,0.005,15.426,146.8,0.0158,5e-04,0.005,0.2925,0.1181,1.31,0.005,0.0075,1.095,1.13,4.995,9.03,2200,0.178,0,6.72
"POSE",2018-09-17 13:49:00,"POSE.W1.20180917",150,0.0146,5e-04,92.79,1.89,4.822,0.6601,0.9341,0.0459,0.076,71.56,1.629,16.4,13.1568,0.003,0.005,12.0216,133.64,0.0226,0.0815,0.005,0.2617,0.0834,1.25,0.005,0.0172,0.2038,0.1066,6.116,3.22,7500,0.163,0.0656,6.74
"POSE",2018-09-17 14:28:00,"POSE.W3.20180917",154,0,0.0168,49.61,6.153,3.022,1.037,1.211,0.1145,0.044,31.62,0.136,8.671,11.1382,0.021,0.005,6.0673,71.46,0.0247,5e-04,0.005,0.3851,0.0367,0.53,0.005,0,0.2047,0.2267,3.499,2.3,7700,0.097,0.0285,6.35
"POSE",2018-09-17 15:20:00,"POSE.W6.20180917",458,0.0585,0.0447,102.11,0.876,5.678,0.7419,1.233,0.1355,0.069,84.61,0.024,17.57,14.9809,0.052,0.005,14.5891,148.15,0.0298,5e-04,0.005,0.284,0.0991,1.45,0.005,0.0641,0.4825,0.2875,6.095,2.6,22900,0.243,0.2693,6.45
"POSE",2018-09-17 16:42:00,"POSE.W8.20180917",NA,0,0.0138,88.27,4.425,3.942,NA,0.667,1.0642,0.104,65.45,0.416,16.68,12.1813,NA,0.005,12.0439,NA,0.0213,5e-04,0.005,0.2593,0.0925,NA,0.005,0,1.036,NA,5.842,2.94,NA,0.272,0.0178,NA
"POSE",2019-02-27 13:56:00,"POSE.W1.20190227",372,0.0774,0.0184,83.27,2.028,3.802,1.42,0.852,0,0.07,64.59,1.735,18.92,11.9699,1.647,0.005,11.9576,121.18,0.0405,1.7794,1.63,0.3032,0.1113,1.16,0.005,0.0884,0.168,0.2238,5.236,1.25,18600,0.176,0.1622,6.89
"POSE",2019-02-27 14:38:00,"POSE.W3.20190227",1194,0.1505,0.0498,56.33,5.805,2.689,1.487,0.8932,0.3343,0.086,37.92,0.063,8.636,13.8006,1.907,0.005,6.7302,79.24,0.0406,2.0075,0.87,0.3376,0.0989,0.73,0.005,0.1678,0.4938,0.5374,3.891,0.38,59700,0.173,0.0896,6.85
"POSE",2019-02-27 15:21:00,"POSE.W6.20190227",318,0.0148,0.037,73.69,4.485,3.525,0.6668,0.9211,0.0134,0.077,52.64,0.031,13.88,11.0141,0.817,0.005,10.1717,104.11,0.04,5e-04,0.62,0.3006,0.0813,0.95,0.005,0.0197,0.2078,0.1597,4.399,1.04,15900,0.093,0.0967,6.58
"POSE",2019-02-27 16:10:00,"POSE.W8.20190227",358,0.0294,0.077,108.43,2.493,6.475,1.353,1.013,1.1097,0.069,81.41,0.004,15.71,4.9682,2.605,0.005,12.9242,153.61,0.0399,5e-04,1.22,0.4776,0.0759,1.62,0.005,0.0371,1.267,1.307,7.29,2.61,17900,0.223,0.1161,7.21
"GUIL",2017-05-31 12:46:00,"GUIL.W5.20170531",2556,NA,0.085,212.9,17.45,8.123,0.8044,0.6703,0.847,0.07,152.28,0.093,38.4,16.8,0.496,0,37.315,301.8,0.012,5e-04,0.18,0.2506,0.1277,2.52,0.005,NA,0.8915,0.9458,9.235,3.22,63900,0.562,0.085,6.51
"GUIL",2017-05-31 14:40:00,"GUIL.W6.20170531",1080,NA,0.153,358.8,29.91,20.388,0.5291,0.454,4.919,0.037,212.41,0.125,43.31,19.22,0.271,0,51.697,510.9,0.013,5e-04,0.15,0.2591,0.0997,3.5,0.005,NA,4.919,5.011,18.225,20.12,27000,1.923,0.075,6.91
"GUIL",2017-06-01 13:43:00,"GUIL.W1.20170601",4800,0.3441,0.052,265.4,14.43,11.567,2.216,0.6519,1.099,0.027,188.35,5e-04,37.84,15.13,0.842,0,41.83,374.1,0.007,5e-04,0.005,0.3195,0.1645,3.1,0.005,0.3856,1.179,1.368,12.355,6.8,120000,1.369,0.083,6.81
"GUIL",2017-06-01 15:10:00,"GUIL.W3.20170601",636,0.0145,0.065,391.1,15.55,16.903,0.475,0.5967,2.195,0.008,309.41,0.043,56.17,19.46,0.132,0,71.085,558.2,0.01,5e-04,0.005,0.264,0.1552,5.09,0.005,0.0187,2.233,2.295,16.977,8.09,15900,2.586,0.069,7.61
"GUIL",2018-05-30 12:08:00,"GUIL.W1.20180530",NA,0.1771,0.4473,325.47,14.766,8.711,NA,0.5912,1.8476,0.051,152.16,0.002,36.44,16.507,NA,0.005,33.8684,NA,0.0139,5e-04,3.5964,0.2313,0.1363,NA,0.005,0.205,1.636,NA,13.28,10.3022,NA,0.964,0.007,NA
"GUIL",2018-05-30 13:24:00,"GUIL.W3.20180530",NA,0.0032,0.0685,439.87,16.041,12.26,NA,0.5346,2.3914,0.023,230.25,5e-04,58.8,20.2477,NA,0.005,46.6566,NA,0.0134,5e-04,1.863,0.2504,0.0671,NA,0.005,0.0097,2.047,NA,18.36,8.7926,NA,1.821,0.0091,NA
"GUIL",2018-05-30 14:28:00,"GUIL.W6.20180530",NA,0.0136,0.1144,362.41,8.016,11.23,NA,0.5721,5.8889,0.084,167.15,5e-04,34.01,22.7425,NA,0.005,36.5111,NA,0.0136,5e-04,1.8642,0.2617,0.0136,NA,0.005,0.0206,5.137,NA,15.26,22.0829,NA,1.795,0.002,NA
"GUIL",2018-05-31 13:03:00,"GUIL.W5.20180531",72,0,0.1321,301.25,27.297,15.88,0.3273,0.9221,5.2688,0.092,213.61,0.004,42.76,20.7374,0.145,0.005,49.056,426.31,0.0146,5e-04,2.2405,0.2794,0.0186,3.942,0.005,0.007,4.385,4.294,20.59,25.2409,3600,1.425,0.0069,6.9
"GUIL",2018-10-09 13:35:00,"GUIL.W5.20181009",48,0.0206,0.0347,301.63,26.985,18.27,0.6399,0.6407,5.1551,0.079,229.42,5e-04,42.34,20.2189,0.4876,0.005,47.253,423.2,0.0299,5e-04,2.67,0.2287,0.0615,3.82,0.005,0.0252,5.097,5.039,20.21,15.37,2400,1.554,0.0673,6.96
"GUIL",2018-10-09 14:56:00,"GUIL.W6.20181009",6,0.0041,0.0506,232.62,8.628,13.96,0.357,0.6404,5.2738,0.125,201.23,5e-04,35.56,23.337,0.3488,0.005,38.2295,325.4,0.0231,5e-04,1.27,0.2308,0.1121,3.45,0.005,0.008,5.285,5.32,16.08,13.49,300,2.312,0.0497,6.8
"GUIL",2019-05-20 13:20:00,"GUIL.W6.20190520",2,0.0044,0.1095,217.66,60.9528,11.01,0.4618,1.145,4.935,0.105,108.51,0.003,49.28,20.3176,0.2844,0.005,31.8143,308.62,0,5e-04,0.005,0.2532,0.1524,1.87,0.005,0.0082,4.627,4.659,11.53,1.4085,100,1.786,0.0375,6.78
"GUIL",2019-05-20 15:30:00,"GUIL.W5.20190520",34,0.0099,0.0901,263.52,51.8658,13.8,1.521,1.54,4.836,0.1,148.12,0.072,55.27,17.2886,0.1893,0.005,38.5815,375.41,0.0161,0.1044,0.005,0.2555,0.1069,2.86,0.005,0.0163,4.51,4.483,14.17,8.5488,1700,1.277,0.0411,6.98
"GUIL",2019-05-21 13:21:00,"GUIL.W3.20190521",22,0.0056,0.0595,335.61,53.5455,12.05,0.6219,0.8635,0.2511,0.051,208.52,0.001,68.49,17.8485,0.4612,0.005,59.318,476.54,0,0.0254,2.2942,0.2348,0.1002,3.91,0.005,0.0077,2.194,2.283,14.61,3.8369,1100,1.777,0.0617,7.37
"GUIL",2019-05-21 14:57:00,"GUIL.W1.20190521",254,0.0192,0.0737,223.15,44.1042,8.812,1.393,0.6037,0.01,0.071,130.21,0.027,63.73,14.7014,0.5009,0.005,36.41,317.41,0,0.1559,0.005,0.2393,0.0828,2.33,0.005,0.0228,1.423,1.537,11.23,3.2378,12700,0.998,0.0503,6.66
"KING",2017-04-19 13:30:00,"KING.W1.20170419",4,0.0437,0.062,286.4,78.1,6.239,1.213,1.195,0.178,0.02,145.96,5e-04,77.1,6.54,0.071,0,42.028,410.4,0.007,5e-04,0.41,0.2953,0.1089,2.43,0.005,0.052,0.2177,0.2655,20.843,2.52,100,1.257,0,7.61
"KING",2017-04-19 14:15:00,"KING.W6.20170419",12,0.0146,0.071,331.1,53.65,8.208,0.8824,0.9316,0.35,0.023,221.41,5e-04,91.45,1.4,0.075,0,46.245,475.7,0.008,5e-04,0.33,0.2674,0.0991,3.74,0.005,0.019,0.3566,0.3574,25.491,2.96,300,1.158,0.015,7.35
"KING",2017-04-20 11:45:00,"KING.W8.20170420",36,0.0247,0.026,535.26,39.7905,6.546,1.33,1.107,0.101,0.021,414.961,0.002,91.61,6.6413,0.027,0,109.77,773.69,0.006,5e-04,0.3592,0.2617,0.0918,6.903,0.005,0.027,0.2262,0.1786,23.373,2.0392,900,1.1305,0.032,7.23
"KING",2017-04-20 12:50:00,"KING.W3.20170420",72,0.0162,0.047,600.89,44.9032,7.8018,1.289,1.066,0.084,0.022,472.634,0.0031,98.72,7.5776,0.053,0,122.63,871.21,0.01,5e-04,0.3257,0.2564,0.1,7.795,0.005,0.0172,0.1516,0.1586,26.83,2.6468,1800,1.4075,0.049,7.2
"KING",2017-06-26 14:15:00,"KING.W1.20170626",85,0.0054,0.022,510.9,35.0047,5.9453,0.9489,0.8684,0.102,0.028,401.29,5e-04,81.72,8.1613,0.0807,0,106.31,732.8,0,5e-04,0.3877,0.4213,0.0654,6.87,0.005,0.0092,0.2039,0.2178,20.996,1.7859,8500,1.5087,0.068,7.77
"KING",2017-06-26 15:33:00,"KING.W6.20170626",32,0.0054,0.0604,600.9,62.3488,8.4824,0.9379,0.7981,0.207,0.036,453.71,5e-04,95.53,9.0001,0.075,0,125.73,861.4,0.001,5e-04,0.3811,0.3141,0.0136,7.86,0.005,0.0119,0.3345,0.3517,25.712,2.7248,3200,1.2589,0.083,7.5
"KING",2017-06-26 16:28:00,"KING.W8.20170626",78,0.0054,0.0273,436.1,29.1651,6.3004,1.098,0.8093,0.073,0.029,381.24,5e-04,95.91,7.1734,0.029,0,77.717,621.8,0,5e-04,0.3578,0.3503,0,6.71,0.005,0.0102,0.1264,0.1847,24.522,1.6623,7800,1.1112,0.096,7.61
