"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","dataQF"
"3e874199-eae8-486b-8254-1aa8dcfdc9c3","a4e1065b-54a2-4277-a19c-6806637828f0","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-04-30T16:21Z","2018-04-30T16:21Z",0.7,"meter",336807,151880337611,30,"Non-fixed","Mid-section","Right edge water",-0.53,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,85,NA
"1b6fd6ec-c637-4f1d-b15e-1ef520a2d125","1a0d996c-6f83-4bfb-a921-48d48fad252a","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-05-08T13:51Z","2018-05-08T13:51Z",0.74,"meter",336807,151880337611,30,"Non-fixed","Mid-section","Right edge water",9.67,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,30,NA
"e0978f0a-8092-416d-89b1-c9f3aae73571","fadf7960-5254-42b4-af60-4877dfcf8796","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-05-16T15:39Z","2018-05-16T15:39Z",0.69,"meter",336807,151880337611,30,"Non-fixed","Mid-section","Right edge water",3.3,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,45,NA
"75da72ae-2d65-499e-9b38-573305865a80","a4633e9f-e879-4fed-a5de-7a631195247f","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-05-23T16:47Z","2018-05-23T16:47Z",0.72,"meter",336807,151880337611,30,"Non-fixed","Mid-section","Right edge water",6.01,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,45,NA
"46525ff2-1634-48d3-9388-1df9e6d63502","e05338e5-edee-47cf-9995-05ee7d9a0a4d","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-05-30T19:04Z","2018-05-30T19:04Z",0.65,"meter",336807,151880337611,30,"Non-fixed","Mid-section","Right edge water",2.49,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,85,NA
"f4b1349b-a0ca-49c8-ac10-6739f1980e65","a6d370d9-ebc4-412b-b121-96106ad05249","D06","MCDI","MCDI.AOS.discharge","EGAWANDA","2018-06-05T14:14Z","2018-06-05T14:14Z",0.57,"meter",336807,151880337611,30,"Non-fixed","Mid-section","Right edge water",-0.24,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,75,NA
"2b904c6c-55ac-4f28-80ba-549e8e9cc6b4","0319e6de-073c-432e-8a6b-d7c2479ee745","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-08-27T14:19Z","2018-08-27T14:19Z",0.86,"meter",336807,151880337611,10,"Non-fixed","Mid-section","Right edge water",381.7,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,25,NA
"d220bf67-cf1c-46d0-afbb-570ace2f6135","d2636b82-d51e-41ac-a324-5fa54cf88716","D06","MCDI","MCDI.AOS.discharge","JKUKU","2018-09-26T15:30Z","2018-09-26T15:30Z",0.78,"meter",336807,151880337611,10,"Non-fixed","Mid-section","Right edge water",11.63,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,45,NA
"0c0f78db-0536-4af1-bd8e-54b05b4ce604","d40d5830-374e-4daf-9d16-995974a5f82b","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-10-17T05:06Z","2018-10-17T05:06Z",0.77,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",278.5,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
"6009dcb4-4b5e-44f9-a399-4717c8d5b424","0ac0ccc5-f65b-4de3-8b75-77202251278e","D06","MCDI","MCDI.AOS.discharge","JKUKULSKI","2018-10-18T18:29Z","2018-10-18T18:29Z",0.75,"meter",336807,151880337611,40,"Non-fixed","Mid-section","Right edge water",235.4,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter",0,0,0,0,0,0,0,NA
