"siteID","sampleID","collectDate","DIC","HCO3","Si","SO4","pH","TPN","Cl","CO3","NO2_N","TPC","UV_Absorbance_280_nm","Fe","DOC","Mn","TSS","TSS_Dry.Mass","K","Ca","TP","F","TOC","TDP","TDS","Mg","ANC","NO3_NO2_N","OrthoP","NH4_N","UV_Absorbance_250_nm","TDN","conductivity","Na","TN","Br","specificConductance"
"COMO","COMO.SS.20180806","8/6/18 14:57",4.073,13.21,5.5169,1.353,7.27,0.0476,2.166,0.005,0.0169,0.4889,0.068,0.0253,2.469,0.003,10,500,0.168,3.1219,0.003,0.005,2.369,5e-04,23.01,0.973,0.28,0.0209,0.012,0.0571,0.0927,0.1016,32.85,1.451,0.0996,0.005,NA
"COMO","COMO.SS.20180821","8/21/18 14:37",4.226,13.21,6.0232,1.365,7.39,0.0802,0.18,0.005,0.0228,0.6362,0.0502,0.0135,2.011,5e-04,8,400,5e-04,3.3096,0.012,1.559,2.006,0.0088,24.12,1.183,0.31,0.0186,0.058,0.0036,0.0716,0.1184,34.19,1.482,0.1113,0.17,NA
"COMO","COMO.SS.20180918","9/18/18 15:45",3.713,21.23,6.4531,1.371,7.42,0.1112,0.47,0.005,0.026,0.6348,0.0498,0.0188,1.782,5e-04,2,100,0.266,3.7037,0.026,0.005,1.682,0.0052,24.45,1.217,0.42,0.0154,0.048,0.015,0.0711,0.0846,36.21,1.891,0.0853,0.005,NA
"COMO","COMO.SS.20180924","9/24/18 17:52",3.829,18.97,6.3721,1.197,7.33,0.0824,1.03,0.005,0.0249,0.3121,0.0471,0.0143,1.735,5e-04,0,0,0.312,3.4914,0.01,0.005,1.685,0.0082,27.08,1.349,0.52,0.0112,0.07,0.0412,0.0643,0,38.56,1.789,0.0133,0.005,NA
"COMO","COMO.SS.20181017","10/17/18 15:58",4.211,21.5961,7.4897,3.063,7.23,0.1366,1.05,0.005,0.0247,0.382,0.0666,0.0739,2.496,5e-04,0,0,0.261,3.7031,0.0852,0.005,2.48,0.019,27.82,1.641,0.42,0.0362,0.025,0.0312,0.0983,0.0819,38.22,2.058,0.0817,0.005,NA
"COMO","COMO.SS.20181120","11/20/18 18:49",4.151,18.7,7.02,1.67,7.29,0.0984,0.29,0.005,0.0524,0.293,0.075,0.075,3.12,5e-04,0,0,5e-04,3.477,0.0484,0.005,2.762,0.004,25.86,1.252,0.47,0,0.022,0,0.1095,0.1805,34.51,1.655,0.1853,0.005,NA
"COMO","COMO.SS.20181217","12/17/18 16:10",4.009,16.11,7.34,1.58,7.36,0.1216,1.15,0.005,0.0514,0.4641,0.0712,0.072,2.342,5e-04,2,100,5e-04,3.598,0.0484,0.8279,2.411,0.002,129.43,1.326,0.31,0.0106,0.019,0.0058,0.1015,0.0813,186.4,1.697,0.0841,0.005,NA
"COMO","COMO.SS.20190114","1/14/19 17:36",3.212,17.25,10.51,3.44,7.79,0.0882,2.1,0.005,0.0529,0.4235,0.0736,0.12,2.361,5e-04,2,100,0.345,4.601,0.185,1.44,2.738,0.005,35.91,1.466,0.35,0,0,0.0493,0.1052,0.1802,48.96,2.725,0.2046,0.005,NA
"COMO","COMO.SS.20190219","2/19/19 16:43",4.2,15.7,7.6582,2.169,7.67,0.1952,2.15,0.005,0.0573,0.2906,0.0828,0.1122,2.603,5e-04,8,400,0.241,3.4561,0.501,0.15,2.907,0.056,23.41,0.998,0.38,0,0.301,0.0669,0.1146,0.2356,35.06,1.996,0.2744,0.005,NA
"COMO","COMO.SS.20190319","3/19/19 17:00",3.521,13.69,7.3513,1.965,7.16,0.1379,2.3433,0.005,0,0.8438,0.0898,0.1277,2.493,5e-04,0,0,0.207,3.5838,0.065,0.005,2.581,0.0067,421.54,0.957,0.31,0,0.06,0.1149,0.1253,0.1366,600.41,1.929,0.1556,0.005,NA
"COMO","COMO.SS.20190319.2","3/19/19 17:00",NA,NA,NA,NA,7.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,NA,NA,0.056,NA,3.12,NA,NA,NA,0.37,NA,NA,NA,NA,NA,43.17,NA,0.157,NA,NA
"COMO","COMO.SS.20190423","4/23/19 17:05",3.36,18.56,7.0648,2.844,7.56,0.1526,0.6512,0.005,0,0.766,0.2674,0.3774,7.091,0.001,8,400,0.257,3.3934,0.0192,0.005,7.697,0.0096,27.17,1.067,0.35,0.0336,0.032,0.0465,0.3725,0.2779,38.42,2.432,0.2694,0.005,NA
"COMO","COMO.SS.20190521","5/21/19 16:30",1.672,2.62,4.5966,6.28,7.57,0.0943,0.13,0.005,0,0.3252,0.202,0.2373,6.557,0.001,2,100,0.156,2.0343,0.2739,0.005,6.536,5e-04,15.41,0.564,0.07,0.0264,0.042,0.0444,0.2892,0.2091,20.08,0.974,0.2668,0.005,NA
"COMO","COMO.SS.20190528","5/28/19 20:42",2.233,1.42,4.2567,4.69,6.76,0.0919,1.67,0.005,0,0.2561,0.2268,0.2112,6.598,5e-04,6,300,0.149,1.8156,0.1721,0.005,7.159,5e-04,12.17,0.499,0.04,0.0241,0.046,0.0417,0.3203,0.1956,17.09,0.777,0.2055,0.005,NA
"COMO","COMO.SS.20190610","6/10/19 16:52",1.68,4.82,2.6416,0.46,7.87,0.1305,1.37,0.005,0,0.3005,0.2506,0.0938,7.903,5e-04,4,200,0.021,1.573,0.14,0.005,8.621,5e-04,9.28,0.346,0.09,0,0.039,0.0608,0.3665,0.2349,13.09,0.492,0.2737,0.005,NA
"COMO","COMO.SS.20190612","6/12/19 16:16",1.386,3.01,2.6583,1.455,8.17,0.1981,1.6515,0.005,0,0.3408,0.2363,0.0952,7.317,5e-04,2,100,0.015,1.5276,0.1792,0.005,8.441,0.0061,9.56,0.359,0.06,0,0.033,0.0839,0.3403,0.2657,13.06,0.47,0.1768,0.005,NA
"COMO","COMO.SS.20190618","6/18/19 16:29",0.4152,1.72,2.669,1.22,6.54,0.0947,2.56,0.005,0,0.4508,0.2582,0.0638,6.169,0.002,0,0,0.1,2.166,0.2361,0.8871,6.479,0.0061,12.98,0.379,0.04,0.0093,0.052,0.0312,0.3813,0.1642,18.42,0.701,0.183,0.005,NA
"COMO","COMO.SS.20190620","6/20/19 15:41",0.5041,2.49,2.5024,2.58,6.71,0.1125,0.95,0.005,0,0.2703,0.265,0.0593,5.498,5e-04,4,200,0.097,1.2426,0.181,0.005,7.699,0.0155,8.94,0.355,0.06,0.0118,0.045,0.055,0.3854,0.1874,12.29,0.681,0.1536,0.005,NA
"COMO","COMO.SS.20190625","6/25/19 15:49",1.626,2.88,3.0107,2.29,7.42,0.1263,1.05,0.005,0,0.336,0.1681,0.0632,4.752,5e-04,0,0,0.098,1.3179,0.3401,0.005,5.257,0.0155,9.28,0.306,0.06,0.0134,0.036,0.124,0.2448,0.1466,13.05,0.724,0.1504,0.005,NA
"COMO","COMO.SS.20190627","6/27/19 16:10",1.697,2.93,3.0233,2.25,7.34,0.1202,1.02,0.005,0,0.3737,0.1355,0.061,4.868,5e-04,0,0,0.103,1.2554,0.1338,0.005,5.063,0.0155,9.47,0.288,0.06,0.0122,0.036,0.0383,0.1955,0.1563,13.28,0.814,0.1741,0.005,NA
"COMO","COMO.SS.20190708","7/8/19 16:17",1.84,2.85,2.8744,1.81,6.82,0.1141,1.32,0.005,0,0.3792,0.1914,0.0619,3.924,0.002,4,200,0.08,1.2782,0.4553,0.005,4.445,0.001,9.6,0.301,0.06,0.0128,0.037,0.0365,0.2783,0.1459,13.61,0.719,0.1587,0.005,NA
"COMO","COMO.SS.20190711","7/11/19 14:59",3.036,3.69,4.0156,0.954,7.27,0.0976,1.633,0.005,0,1.1992,0.2057,0.0617,3.806,0.001,2,100,0.076,1.3868,0.3722,0.005,4.89,0.023,9.22,0.308,0.07,0.012,0.036,0.0346,0.2866,0.1204,12.69,0.957,0.1787,0.005,NA
"COMO","COMO.SS.20190716","7/16/19 16:50",2.078,5.02,4.44,0.903,7.87,0.1371,1.7202,0.005,0,0.2693,0.1758,0.0461,4.143,5e-04,4,200,0.073,1.562,0.263,0.005,4.98,0.0088,12.37,0.386,0.09,0.0142,0.029,0.069,0.2538,0.1366,16.35,0.945,0.1594,0.005,NA
"COMO","COMO.SS.20190716.2","7/16/19 16:50",NA,NA,NA,NA,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,200,NA,NA,0.2531,NA,4.787,NA,NA,NA,0.1,NA,NA,NA,NA,NA,16.52,NA,0.1754,NA,NA
"COMO","COMO.SS.20190722","7/22/19 15:34",2.227,7.62,5.2851,0.894,7.13,0.1203,1.2387,0.005,0.001,0.2713,0.1931,0.0605,3.587,0.001,0,0,0.085,1.7902,0.2463,0.0274,4.069,0.0245,203.41,0.43,0.15,0.0109,0.038,0.0703,0.2815,0.1215,18.39,1.029,0.1029,0.005,NA
"COMO","COMO.SS.20190805","8/5/19 16:20",2.772,5.18,5.79,1.19,7.4,0.1223,1.86,0.005,9e-04,0.2948,0.1535,0.054,3.544,5e-04,6,300,0.123,1.938,0.262,0.005,3.821,0.004,14.9,0.488,0.1,0.0123,0.031,0.1096,0.2168,0.1206,21.7,0.473,0.0982,0.005,NA
"COMO","COMO.SS.20190820","8/20/19 16:23",3.659,11.85,8.87,1.25,7.71,0.181,1.76,0.005,0,0.2217,0.0624,0.026,2.144,5e-04,10,500,0.2,2.782,0.063,0.24,2.261,0.005,21.8,0.717,0.21,0.0518,0.017,0.0374,0.0906,0.0808,29.28,1.661,0.0976,0.005,NA
"COMO","COMO.SS.20190822","8/22/19 15:45",3.672,2.98,8.31,18.13,7.46,0.0772,0.17,0.005,0,0.233,0.0821,0.035,2.464,5e-04,10,500,0.207,4.599,0.244,0.005,2.625,0.013,21.9,0.987,0.06,0.022,0,0.025,0.1129,0.1315,29.43,2.599,0.1152,0.005,NA
"COMO","COMO.SS.20190917","9/17/19 16:15",4.285,16.96,5.161,2.118,8.17,0.0531,0.21,0.005,0,0.225,0.0418,0.0198,2.031,5e-04,8,400,0.339,3.487,0.2481,0.005,2.076,0.009,22.54,0.858,0.38,0.0108,0.065,0.0384,0.059,0.1521,NA,1.719,0.1048,0.005,33.69
"COMO","COMO.SS.20190924","9/24/19 17:06",4.183,11.75,5.458,1.914,7.92,NA,0.3055,0.005,0,NA,0.0292,0.0178,1.715,5e-04,4,200,0.195,1.649,0.2749,0.005,1.724,0.0025,18.45,0.861,0.29,0.0096,0.033,0.0306,0.0422,0.085,NA,1.659,0.0785,0.005,24.56
"COMO","COMO.SS.20191015","10/15/19 16:00",3.855,12.85,8.688,2.4569,7.81,0.1388,1.29,0.005,0,0.2446,0.0469,0.023,1.836,5e-04,10,500,0.363,3.007,0.081,0.005,1.811,0.016,22.15,0.826,0.36,0.0023,0.049,0.0331,0.0615,0.0417,NA,1.647,0.0703,0.005,31.25
"COMO","COMO.SS.20191119","11/19/19 18:15",4.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,NA,NA,NA,NA,NA
"WLOU","WLOU.SS.20180612","6/12/18 16:15",8.279,39.88,4.5739,1.221,7.46,0.1442,5.105,0.005,0.0144,0.3813,0.0694,5e-04,2.97,5e-04,4,200,0.499,11.1476,0.021,0.005,3.133,0.0162,57.848,2.328,0.72,0.0109,0.025,0.0437,0.1044,0.0752,82.64,1.183,0.0682,0.005,NA
"WLOU","WLOU.SS.20180614","6/14/18 18:38",8.763,42.35,4.7012,0.789,7.63,0.1469,4.2093,0.005,0.0145,0.3808,0.0649,5e-04,2.88,5e-04,2,100,0.495,11.3349,0.004,0.005,2.864,5e-04,58.247,2.293,0.85,0.0081,0.017,0.0394,0.0996,0.0866,83.21,1.192,0.0972,0.005,NA
"WLOU","WLOU.SS.20180618","6/18/18 16:14",8.696,41.24,4.7129,0.693,7.8,0.0326,6.2338,0.005,0.0152,0.3818,0.0549,5e-04,2.671,5e-04,0,0,0.512,11.7426,0.031,0.005,2.535,0.0176,60.165,2.369,0.73,0.0116,0.016,0.0512,0.0821,0.0489,85.95,1.195,0.0667,0.005,NA
"WLOU","WLOU.SS.20180620","6/20/18 14:29",10.38,21.54,4.1337,0.34,8.54,0.1279,10.5325,0.005,0.0277,0.4599,0.0485,5e-04,2.657,5e-04,0,0,0.592,11.3167,0.0569,3.3104,2.519,5e-04,59.801,2.427,0.43,0.0368,0.012,0.0091,0.0736,0.0656,85.43,1.249,0.0637,0.005,NA
"WLOU","WLOU.SS.20180627","6/27/18 18:35",10.12,20.18,4.637,0.21,7.37,0.0621,15.7135,0.005,0.0281,0.3409,0.0364,5e-04,1.742,5e-04,0,0,0.704,13.1674,0.0394,3.6656,1.734,5e-04,68.187,2.64,0.42,0.0348,0.013,0.0113,0.0542,0.1544,97.41,1.444,0.1378,0.005,NA
"WLOU","WLOU.SS.20190701","7/1/19 17:25",8.095,33.62,3.7502,3.399,7.76,0.0654,1.8859,0.005,0,0.2914,0.1406,5e-04,3.923,5e-04,2,100,0.503,9.7363,0.1868,0.2558,4.219,0.0155,48.21,1.569,0.62,0.0246,0.035,0.0626,0.205,0.1136,67.45,0.909,0.1954,0.005,NA
"WLOU","WLOU.SS.20190709","7/9/19 14:53",8.62,33.54,5.9805,1.518,7.75,0.0815,4.62,0.005,0,0.2749,0.0828,5e-04,2.619,5e-04,4,200,0.535,10.5336,0.012,0.005,2.768,5e-04,53.21,1.743,0.62,0.0158,0.035,0.0431,0.1209,0.085,74.63,1.237,0.0766,0.005,NA
"WLOU","WLOU.SS.20190709.2","7/9/19 14:53",NA,NA,NA,NA,7.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,200,NA,NA,0.015,NA,2.913,NA,NA,NA,0.65,NA,NA,NA,NA,NA,71.31,NA,0.0964,NA,NA
"WLOU","WLOU.SS.20190717","7/17/19 16:12",9.405,44.69,6.1858,1.557,6.99,0.1228,1.849,0.005,5e-04,0.2838,0.0367,5e-04,2.032,0.002,4,200,0.561,11.5035,0.2836,0.005,2.211,0.011,57.48,1.831,0.78,0.0115,0.036,0.0032,0.059,0.1023,80.26,1.266,0.0818,0.005,NA
"WLOU","WLOU.SS.20190729","7/29/19 16:21",10.51,43.15,6.3529,1.587,7.02,0.1263,4.2585,0.005,0,0.2681,0.1321,5e-04,1.846,0.002,4,200,0.598,12.7753,0.3554,0.005,1.957,0.0068,59.87,2.009,0.75,0.0216,0.039,0.0434,0.1828,0.0781,86.54,1.266,0.0956,0.005,NA
"SYCA","SYCA.SS.20180904","9/4/18 16:28",87.57,402.15,16.7525,35.07,7.45,0.1082,10.6768,0.005,0.1136,0.3927,0.163,5e-04,6.611,5e-04,4,200,4.652,74.1112,0.203,1.4881,6.591,0.1916,540.64,32.36,6.79,3.6647,0.168,0.2226,0.2406,3.644,775.64,27.19,3.841,0.005,NA
"SYCA","SYCA.SS.20180911","9/11/18 16:06",97.45,362.48,13.2047,25.638,7.82,0.0866,14.47,0.005,0.0239,0.5036,0.1902,5e-04,8.369,5e-04,22,1100,4.749,50.8572,0.182,0.005,7.945,0.1793,483.69,35.38,6.01,0.2986,0.245,0.024,0.2873,0.474,689.42,29.15,0.9222,0.005,NA
"SYCA","SYCA.SS.20180925","9/25/18 15:52",111.66,548.24,12.9779,5.634,7.79,0.142,9.61,0.005,0.0242,0.6566,0.2103,5e-04,10.46,1.691,10,500,5.483,96.5857,0.6914,3.8,10.15,0.1209,670.24,38.56,9.06,0.0072,0.259,0.4787,0.3199,1.259,958.47,31.95,1.683,0.005,NA
"SYCA","SYCA.SS.20191119","11/19/19 17:31",72.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1418,NA,NA,NA,NA,NA
"REDB","REDB.SS.20170801","8/1/17 19:56",52.49,214.09,4.9672,89.9585,8.06,0.0966,9.3749,0,0.0086,0.3658,0.0182,5e-04,1.787,5e-04,4,200,0.7932,64.385,0.023,0.005,0.9335,0.0215,395.5,23.239,3.75,0.0876,0.035,0.0258,0.0264,0.1076,656.8,10.938,0.1279,0.005,NA
"REDB","REDB.SS.20180807","8/7/18 15:52",52.52,199.4423,6.0141,144.15,8.22,0.0779,11.4857,0.005,0.0175,0.3064,0.0168,5e-04,1.177,5e-04,0,0,0.841,59.5649,0.021,0.005,0.9818,8e-04,437.51,32.81,4.05,0.0696,0.013,0.0243,0.0214,0.1091,623.6,12.39,0.1115,0.005,NA
"REDB","REDB.SS.20190903","9/3/19 16:56",55,2.45,6.3919,0.005,8.25,0.1381,1.21,0.005,0,0.3499,0.0134,0.2062,1.225,0.031,17.0213,851.0638,0.226,0.4527,0.1852,0.005,1.051,0.008,5.41,0.272,0.0521,0.0479,0,0.031,0.0209,0.1131,NA,0.655,0.0889,0.005,8.02
"REDB","REDB.SS.20190917","9/17/19 17:51",60.86,234.17,5.095,109.05,7.92,0.1123,0.19,0.005,0,0.3217,0.0139,5e-04,1.514,5e-04,2,100,0.857,65.17,0.2336,0.005,1.239,0.0245,428.77,27.97,3.97,0.0244,0.076,0.0248,0.0196,0.1734,NA,12.18,0.0961,0.005,620.47
"MART","MART.SS.20180109","1/9/18 18:26",3.822,3.86,0.29,2.92,7.3,0.0777,4.29,0.005,0.0135,0.3069,0.0323,5e-04,0.5556,5e-04,0,0,0.092,3.548,0.042,0.005,0.5533,0.038,18,0.215,0.07,0.0249,0.061,0.1098,0.0428,0.0138,25.69,1.871,0.0157,0.005,NA
"MART","MART.SS.20180115","1/15/18 18:39",3.825,11.05,0.29,1.87,7.49,0.1034,7.45,0.005,0.0136,0.3489,0.0119,5e-04,0.4423,5e-04,0,0,1.05,5.525,0.009,1.72,0.4481,0.008,37.6,0.568,0.25,0.0245,0.047,0.1081,0.0199,0.0408,52.67,3.819,0.014,0.005,NA
"MART","MART.SS.20181203","12/3/18 17:44",4.451,14.79,7.41,0.18,NA,0.1225,3.28,0.005,0.0528,0.2649,0.0192,5e-04,0.9812,5e-04,NA,NA,5e-04,3.617,NA,0.005,NA,0.03,25.7,0.949,NA,0,0.03,0.0527,0.0296,0,NA,1.851,NA,0.005,NA
"MART","MART.SS.20181211","12/11/18 18:35",4.488,16.01,7.32,0.22,7.24,0.0775,1.29,0.005,0.0525,0.3601,0.0238,5e-04,1.225,5e-04,0,0,5e-04,3.624,0.0696,0.53,1.808,0.022,25.47,0.856,0.44,0,0.384,0.0698,0.0325,0,35.42,1.789,0,0.005,NA
"MART","MART.SS.20181217","12/17/18 18:47",NA,NA,NA,NA,NA,0.1524,NA,NA,NA,0.3076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MART","MART.SS.20191119","11/19/19 17:20",5.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0163,NA,NA,NA,NA,NA
"MCRA","MCRA.SS.20171030","10/30/17 17:00",3.314,5.01,0.263,6.23,NA,0.0717,6.09,0.005,0.0222,0.3867,0.008,5e-04,0.8473,5e-04,NA,NA,0.465,3.412,NA,0.005,NA,0.024,41.1,0.895,0.081,0.0147,0.046,0.1799,0.0128,0,NA,2.967,NA,0.005,NA
"MCRA","MCRA.SS.20190801","8/1/19 17:04",4.126,3.81,8.88,0.05,6.9,0.1188,5.15,0.005,4e-04,0.217,0.0114,5e-04,0.8771,0.002,0,0,0.144,2.403,0.332,0.005,0.8092,0.013,19.4,0.631,0.08,0.0141,0.037,0.9787,0.0173,0.0501,29.26,0.779,0.0175,0.005,NA
"MCRA","MCRA.SS.20190806","8/6/19 16:01",4.286,1.52,9.06,0.21,7.75,0.0575,6.94,0.005,6e-04,0.225,0.0061,5e-04,0.8292,5e-04,2,100,0.171,2.513,0.058,0.005,0.8222,0.009,22.1,0.748,0.03,0.0119,0.037,0.0035,0.0197,0.0389,30.41,0.798,0,0.005,NA
"MCRA","MCRA.SS.20190820","8/20/19 15:45",3.988,9.28,10.16,12.52,7.53,0.1511,0.15,0.005,0,0.2306,0.0204,5e-04,0.9508,5e-04,6,300,0.202,5.466,0.087,0.01,0.7301,0.005,21.1,0.734,0.18,0.0086,0.01,0.0395,0.0337,0.0418,29.8,1.715,0.0603,0.005,NA
"MCRA","MCRA.SS.20190827","8/27/19 15:31",4.344,10.95,10.27,3.36,7.49,0.1172,0.22,0.005,0,0.2698,0.0168,5e-04,0.6237,5e-04,38,1896.5517,0.205,2.623,0.2591,0.21,0.5139,0.011,19.8,0.832,0.19,0.0082,0,0.0079,0.0213,0,28.82,1.738,0,0.005,NA
"BIGC","BIGC.SS.20180219","2/19/18 17:51",9.938,49.71,12.34,9.05,7.21,0.0721,16.11,0.005,0.011,0.371,0.0357,0.004,1.218,5e-04,0,0,1.313,11.76,0.005,0.45,1.143,0.003,131.2,1.313,0.95,0.014,0.053,0.1919,0.0483,0,187.1,17.385,0,0.005,NA
"BIGC","BIGC.SS.20180307","3/7/18 17:31",7.686,24.19,11.79,5.05,6.75,0.0652,17.78,0.005,0.0171,0.4061,0.0797,0.014,4.228,5e-04,2,100,1.141,8.019,0.018,0.005,3.435,0.016,78.4,0.995,0.41,0.0186,0.028,0,0.1158,0.0453,113.6,10.999,0.0425,0.005,NA
"BIGC","BIGC.SS.20180328","3/28/18 17:34",6.737,14.95,10.76,3.2,7.42,0.131,12.73,0.005,0.0177,0.3952,0.0876,0.003,7.446,0,6,300,1.035,6.973,0.019,0.005,7.987,0.017,75.36,0.931,0.27,0.0215,0.047,0.0049,0.1355,0.8756,104.8,5.105,1.291,0.005,NA
"BIGC","BIGC.SS.20180403","4/3/18 16:34",7.87,9.25,11.3508,3.7193,7.16,0.0996,18.3093,0.005,0.0151,0.3751,0.0602,0.0091,6.11,5e-04,4,200,1.0414,7.6308,0.0203,0.005,7.339,5e-04,74.9,1.0012,0.17,0.0387,0.067,0,0.0904,0.8579,104.4,5.9259,1.114,0.005,NA
"BIGC","BIGC.SS.20180410","4/10/18 17:35",7.372,3.21,11.8947,3.1328,6.82,0.115,20.1422,0.005,0.0112,0.3973,0.076,0.0097,3.001,5e-04,4,200,1.0689,7.5667,0.1461,0.4322,3.008,0.0297,68.9,0.9148,0.07,0.0222,0.066,0.0121,0.1071,0.1578,96.82,5.4421,0.1546,0.005,NA
"BIGC","BIGC.SS.20180423","4/23/18 17:05",8.049,19.89,12.3016,2.32,7.1,0.1238,15.96,0.005,0.0145,0.3525,0.057,0.0045,2.091,5e-04,2,100,1.307,10.369,0.0292,0.005,1.941,0.0161,77.3,3.114,0.42,0.0577,0.066,0.0149,0.0835,0.1392,108.7,0.315,0.1413,0.005,NA
"BIGC","BIGC.SS.20180430","4/30/18 16:58",8.173,9.36,12.3439,4.4093,7.34,0.0439,8.7259,0.005,0.0144,0.3789,0.1173,9e-04,1.901,9e-04,0,0,0.815,5.241,0.0338,0.9264,1.849,5e-04,69.42,0.625,0.254,0,0.016,0.0139,0.1805,0.1123,98.26,8.04,0.111,0.005,NA
"BIGC","BIGC.SS.20180507","5/8/18 4:46",8.55,2.35,13.3645,4.964,7.3,0.097,14.6624,0.005,0.0149,0.2985,0.049,0.0042,2.072,7e-04,0,0,0.852,3.693,0.003,0.716,1.862,5e-04,72.58,1.1246,0.056,0,0.017,0.1518,0.0723,0.2905,102.2,6.325,0.2897,0.005,NA
"BIGC","BIGC.SS.20180514","5/14/18 16:21",8.794,6.79,12.6897,2.995,7.15,0.0953,13.285,0.005,0.0149,0.3198,0.0432,5e-04,1.88,5e-04,0,0,1.1884,4.685,0.0443,0.2986,1.734,0.023,74.21,1.0385,0.129,0.0082,0.014,0.0857,0.0612,0.2859,104.8,7.844,0.2809,0.005,NA
"BIGC","BIGC.SS.20180521","5/21/18 17:17",8.823,16.95,12.8556,5.0269,7.1,0.1123,6.8338,0.005,0.0131,0.3069,0.2858,5e-04,1.708,5e-04,2,100,1.2066,3.217,0.0566,0.005,1.514,0.0199,74.51,1.0223,0.297,0.0075,0.026,0.0239,0.3159,0.2434,107.21,8.782,0.2342,0.005,NA
"BIGC","BIGC.SS.20180529","5/29/18 18:08",8.909,0.96,14.7733,3.237,7.24,0.0681,23.3571,0.005,0.0142,0.4126,0.0405,0.0041,1.719,5e-04,0,0,1.02,8.6556,0.0645,3.3735,1.5,0.0023,78.25,1.404,0.017,0.0109,0.016,0,0.0636,0.2373,110.3,8.512,0.2289,0.005,NA
"BIGC","BIGC.SS.20180605","6/5/18 17:25",9.076,13.78,16.7917,4.893,7.49,0.1073,18.112,0.005,0.0154,0.3387,0.0255,7e-04,1.613,5e-04,4,200,1.235,10.3862,0.0372,5.5113,1.557,0.008,80.164,1.695,0.28,0.0207,0.038,0.0209,0.041,0.0547,114.52,10.24,0.0576,0.005,NA
"BIGC","BIGC.SS.20180612","6/13/18 6:28",9.529,12.97,16.4616,5.199,7.57,0.1127,18.9605,0.005,0.0148,0.3282,0.034,0.0087,1.652,5e-04,0,0,1.258,10.2858,0.0094,5.5892,1.526,0.0244,81.543,1.681,0.23,0.0045,0.029,0.0312,0.0515,0.0608,116.49,10.77,0.0496,0.005,NA
"BIGC","BIGC.SS.20180625","6/25/18 16:31",10.07,25.68,13.7924,0.87,7.42,0.0044,25.166,0.005,0.024,0.3115,0.0384,5e-04,1.68,5e-04,0,0,1.274,10.1175,0.0257,0.005,1.57,0.022,82.383,1.575,0.49,0.0332,0.024,0.0029,0.0532,0.0677,117.69,11.47,0.0529,0.005,NA
"BIGC","BIGC.SS.20180625.2","6/25/18 16:31",NA,NA,NA,NA,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.025,NA,1.569,NA,NA,NA,0.49,NA,NA,NA,NA,NA,121.21,NA,0.0767,NA,NA
"BIGC","BIGC.SS.20180702","7/2/18 17:26",9.351,33.97,16.39,8.508,7.58,0.0501,22.9191,0.005,0.0125,0.3162,0.0354,0.0054,1.642,0.001,2,100,1.27,11.968,0.082,0.005,1.362,0.024,101.2,1.855,0.62,0.0122,0.026,0.0777,0.0532,0.1712,141.29,13.85,0.1874,0.005,NA
"BIGC","BIGC.SS.20180814","8/14/18 16:03",10.75,25.41,15.0729,10.911,7.6,0.0897,30.4891,0.005,0.0216,0.3731,0.0258,5e-04,1.348,5e-04,4,200,0.731,12.793,0.021,0.005,1.142,0.0184,110.28,2.041,0.627,0.0091,0.02,0.0052,0.0394,0,156.58,16.33,0,0.005,NA
"BIGC","BIGC.SS.20180911","9/11/18 17:00",10.01,2.22,14.3941,11.172,7.57,0.0201,50.28,0.005,0.0205,0.299,0.026,0.0028,12.1,5e-04,2,100,1.513,13.8834,0.025,0.005,4.491,0.0227,121.62,2.012,0.038,0.0086,0.089,0.0087,0.0398,0.7682,171.52,18.52,0.488,0.005,NA
"BIGC","BIGC.SS.20180918.2","9/18/18 16:32",NA,NA,NA,NA,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,100,NA,NA,0.036,NA,0.9533,NA,NA,NA,0.91,NA,NA,NA,NA,NA,175.65,NA,0.1426,NA,NA
"BIGC","BIGC.SS.20180918","9/18/18 16:32",10.08,46.28,14.1704,10.83,7.53,0.1326,24.1,0.005,0.0222,0.7575,0.0228,5e-04,0.9884,5e-04,2,100,1.484,14.2279,0.043,1.22,1.027,0.0388,121.61,1.998,0.93,0.0395,0.094,0.0164,0.0367,0.0977,170.63,18.71,0.1051,0.005,NA
