"uid","recorduid","domainID","siteID","namedLocation","collectedBy","startDate","collectDate","streamStage","streamStageUnits","handheldDeviceID","velocitySensorID","filterParamTime","stationEntryTest","flowCalculation","waterEdge","totalDischarge","totalDischargeUnits","samplingProtocolVersion","averageVelocityUnits","waterDepthUnits","tapeDistanceUnits","flowCalcQF","dischargeUnitsQF","streamStageUnitsQF","averageVelocityUnitsQF","waterDepthUnitsQF","tapeDistanceUnitsQF","lowVelocityFinalQF","waterYearToInclude","waterYearToIncludeNotes","dataQF","publicationDate"
"f3d6d58a-8134-457b-bf9c-2391e49c9f8d","58e42a93-0ac9-40c8-8d55-54e9fa3fab11","D11","BLUE","BLUE.AOS.discharge","NAF",2018-07-18 19:41:00,2018-07-18 19:41:00,NA,NA,"6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",1004,"litersPerSecond","NEON.DOC.001085vE","meterPerSecond","meter","meter","0",0,-1,0,0,0,14,NA,NA,NA,"20200414T135600Z"
"6356f7af-2b87-41c7-8580-38fc93568606","4edb0f95-b673-42b1-b6bb-d0e5a509fc96","D11","BLUE","BLUE.AOS.discharge","NAF",2018-10-01 05:47:00,2018-10-01 05:47:00,0.45,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",4385,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,10,NA,NA,NA,"20200414T141823Z"
"55633dc1-6cd0-45b4-8ebf-b313e8b8763d","620228c4-83e4-4109-8328-6bd2d296cf17","D11","BLUE","BLUE.AOS.discharge","NF",2018-10-23 16:58:00,2018-10-23 16:58:00,0.55,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",6889,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T141823Z"
"a84cbef5-153e-4002-a026-c18e93744420","009ea9ae-6ade-4793-8032-dbac14f2fd24","D11","BLUE","BLUE.AOS.discharge","KMJ",2018-11-05 19:14:00,2018-11-05 19:14:00,0.51,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",5911,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T143247Z"
"6ff063b6-819e-49f3-b057-53c9b303fc19","c45ddd65-9e4e-415a-b07f-b12d917b15cb","D11","BLUE","BLUE.AOS.discharge","KMJ",2018-11-26 19:47:00,2018-11-26 19:47:00,0.44,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",3631,"litersPerSecond","NEON.DOC.001085vD","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T143247Z"
"34642a20-8ffc-40ef-90ef-4baa68764283","36ebc15b-6579-46d2-8d6b-7f3642621f3e","D11","BLUE","BLUE.AOS.discharge","NF",2018-12-05 17:58:00,2018-12-05 17:58:00,0.44,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","-",3268,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T140821Z"
"da0b7a52-3e28-4052-bf8d-1fad2e663ecc","3d8b0783-89dd-439b-ada0-0ef40c60bd9c","D11","BLUE","BLUE.AOS.discharge","CWB",2018-12-11 06:21:00,2018-12-11 06:21:00,0.43,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",2907,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T140821Z"
"b7974895-3531-49b8-80ea-ecf8bb976c59","a1c1ee56-2950-4a37-b1b4-94b4a0f25ff1","D11","BLUE","BLUE.AOS.discharge","KMJ",2019-01-07 21:34:00,2019-01-07 21:34:00,0.57,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",7735,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T134232Z"
"12acada8-8a8d-4fc3-a791-0a35e639a778","b6a84f7f-c371-4f39-a317-2e3a2b94c3b4","D11","BLUE","BLUE.AOS.discharge","CMT",2019-01-29 06:48:00,2019-01-29 06:48:00,0.49,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",5004,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T134232Z"
"c3301fbb-ceb2-4d4c-b71a-a8b4b3060b56","39900698-8b2a-4f12-86cc-2e53f0fe263e","D11","BLUE","BLUE.AOS.discharge","CWB",2019-02-19 17:34:00,2019-02-19 17:34:00,0.48,"meter","6.55234808599879e-313","6.55330156985012e-313",40,"Non-fixed","Mid-section","Right edge water",4480,"litersPerSecond","NEON.DOC.001085vF","meterPerSecond","meter","meter","0",0,0,0,0,0,0,NA,NA,NA,"20200414T143326Z"
